Name,Type,Category,Area,Address,Price (VND),Price band,Best session,Vibe,Good for,Must try (EN),Must try (VI),Why we go (EN),Why we go (VI),Hours & notes (EN),Hours & notes (VI),Link,Last checked,EN reviewed,Indoor / Outdoor,English friendly,Payment,Open days,Photo,Localness (1-5),Value (1-5),Search keywords,Data status
Cơm gà bà Thuỷ,🍜 Food · Đồ ăn,Rice · Cơm,My An · Mỹ An,279 Chính Hữu,45k–70k,₫₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Casual · Bình dân, Local · Bản địa","Family · Gia đình, Solo · Đi một mình, Group · Nhóm bạn",Hand-torn boiled chicken rice,Gà luộc tự xé,"Family-run place with quality chicken at a fair price. Order the boiled chicken with herbs, cucumber, tomato and kimchi. Order soup separately if eating with family - the seaweed soup with big shrimp is great.","Quán gia đình, chất lượng gà và giá thích hợp cho khách du lịch. Món mình thích nhất là gà luộc tự xé, ăn kèm rau, dưa leo, cà chua và kim chi. Ăn cùng gia đình nên gọi canh riêng — canh rong biển có tôm to rất ngon.",,,https://share.google/lpQ7m7AdChxZhCmBo,,,,,,,,,,Com ga ba Thuy,Draft - verify
Cơm gà Hồng Ngọc,🍜 Food · Đồ ăn,Rice · Cơm,Hai Chau · Hải Châu,193 Nguyễn Chí Thanh,45k–70k,₫₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Casual · Bình dân, Local · Bản địa","Family · Gia đình, Group · Nhóm bạn",Chicken rice,Cơm gà,"Well-known chicken rice in Da Nang. Spacious, handles big groups.","Cơm gà ngon nổi tiếng ở Đà Nẵng. Quán rộng rãi, phục vụ được số lượng khách lớn.",,,https://share.google/dB9BS4xg5DP9phOMa,,,,,,,,,,Com ga Hong Ngoc,Draft - verify
Bún Quậy Phú Quốc,🍜 Food · Đồ ăn,Bún · Noodles,Hai Chau · Hải Châu,61 Huỳnh Thúc Kháng,40k–60k / bowl,₫,🍜 Lunch · Buổi trưa,Casual · Bình dân,"Solo · Đi một mình, Small group · Nhóm nhỏ",Bún quậy with fresh seafood,Bún quậy hải sản,Fresh noodles made on the spot and fresh seafood. Good for solo or small groups.,"Bún tươi làm tại chỗ, hải sản tươi, ngon. Phù hợp đi một mình hoặc ít người.",,,https://g.page/bunquaydacsanphuquoc?share,,,,,,,,,,Bun Quay Phu Quoc,Draft - verify
Bún bò Huế (Kiệt 123 Nguyễn Thị Minh Khai),🍜 Food · Đồ ăn,Bún · Noodles,Hai Chau · Hải Châu,Kiệt 123 Nguyễn Thị Minh Khai,40k–60k,₫,☀️ Morning · Buổi sáng,"Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,Bún bò Huế,Bún bò Huế,Perfect after a swim in the sea.,Đi tắm biển về mà làm tô bún này là hết xẩy.,Morning only.,Chỉ bán sáng.,,,,,,,,,,,Bun bo Hue (Kiet 123 Nguyen Thi Minh Khai),Draft - verify
Bún chả cá 109,🍜 Food · Đồ ăn,Bún · Noodles,Hai Chau · Hải Châu,"109 Nguyễn Chí Thanh, Hải Châu 1, Hải Châu",~30k,₫,"☀️ Morning · Buổi sáng, 🍜 Lunch · Buổi trưa","Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,Bún chả cá (fish cake noodles),Bún chả cá,Fish-cake noodles at around 30k a bowl. (Add your own notes.),"Bún chả cá giá bình dân, trung bình 30k. (Bổ sung ghi chú của bạn.)",,,https://goo.gl/maps/QCTbgwgqLbUwUUFK6,,,,,,,,,,Bun cha ca 109,Draft - verify
Bún chả Hà Nội (Huy Cận),🍜 Food · Đồ ăn,Bún · Noodles,Hai Chau · Hải Châu,"Crossroads opposite 86 Huy Cận, Hòa Cường Nam, Hải Châu",20k / bowl,₫,☀️ Morning · Buổi sáng,"Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,Bún chả,Bún chả,Owner is from Da Nang but keeps the Hanoi flavor. Cheap and filling; one local eats here almost every morning. Cross the street to White Cafe for a salt coffee to complete the morning combo.,"Chị chủ người Đà Nẵng làm nhưng vẫn giữ hương vị bún chả Hà Nội. Giá phải chăng, ăn vừa đủ no. Ăn xong qua quán cafe đối diện — White Cafe làm 1 cốc cafe muối cho đủ combo buổi sáng.",Breakfast spot.,Quán ăn sáng.,https://goo.gl/maps/GSWwQxsTqqd69fnq8,,,,,,,,,,Bun cha Ha Noi (Huy Can),Draft - verify
Bún Cô Phú,🍜 Food · Đồ ăn,Bún · Noodles,Son Tra · Sơn Trà,78 Khúc Hạo,20k–40k / bowl,₫,🍽️ Dinner · Bữa tối,"Casual · Bình dân, Local · Bản địa",Solo · Đi một mình,Bún,Bún,Cheap noodle bowl for the evening. (Add your own notes.),Bún giá rẻ bán chiều tối. (Bổ sung ghi chú của bạn.),Evening only.,Chỉ bán chiều tối.,,,,,,,,,,,Bun Co Phu,Draft - verify
Mỳ Quảng Bà Mua,🍜 Food · Đồ ăn,Mỳ Quảng,Hai Chau · Hải Châu,"19-21 Trần Bình Trọng, Phước Ninh, Hải Châu",from 45k,₫₫,"🍜 Lunch · Buổi trưa, 🍽️ Dinner · Bữa tối","Local · Bản địa, Tourist friendly · Thân thiện du khách","Family · Gia đình, Group · Nhóm bạn, Solo · Đi một mình",Mỳ Quảng,Mỳ Quảng,"Eat at the original Trần Bình Trọng branch - seasoning is inconsistent across branches (even the chili jar differs, e.g. the Hồ Nghinh branch).","Nên ăn ở Trần Bình Trọng. Dù có nhiều chi nhánh nhưng gia vị không nhất quán — kể cả hũ ớt, chi nhánh Hồ Nghinh đã khác hoàn toàn so với chi nhánh gốc.",,,https://goo.gl/maps/Wy4EfWPDSc9nqg3g8,,,,,,,,,,My Quang Ba Mua,Draft - verify
Mỳ Quảng Sứa Hồng Vân,🍜 Food · Đồ ăn,Mỳ Quảng,Hai Chau · Hải Châu,59 Lê Hồng Phong,,₫₫,🍜 Lunch · Buổi trưa,Local · Bản địa,Solo · Đi một mình,Jellyfish Mỳ Quảng,Mỳ Quảng sứa,Mỳ Quảng with jellyfish. (Add your own notes.),Mỳ Quảng sứa. (Bổ sung ghi chú của bạn.),,,https://www.foody.vn/da-nang/mi-quang-sua-hong-van,,,,,,,,,,My Quang Sua Hong Van,Draft - verify
Mỳ Quảng Vỉa Hè (Hà Thân),🍜 Food · Đồ ăn,Mỳ Quảng,Son Tra · Sơn Trà,"Crossroads by Son Tra procuracy and Hà Thân market, diagonally opposite the park",15k–20k,₫,"🌅 Early Morning · Sáng sớm, ☀️ Morning · Buổi sáng","Street food · Ăn vỉa hè, Local · Bản địa",Solo · Đi một mình,Mỳ Quảng,Mỳ Quảng,Best and cheapest Mỳ Quảng we know. The seller comes from Quảng Nam every morning with village greens. Huge bowl - women may want to ask for less noodles.,"Mỳ Quảng siêu ngon (chưa ăn chỗ nào ngon hơn và rẻ hơn). Cô sáng nào cũng đi từ Quảng Nam ra bán, rau quê nên ăn xả láng. Tô mỳ khổng lồ — nữ ăn nhớ dặn bỏ ít mỳ.","6–8AM only, sold out around 8AM.","Chỉ bán sáng sớm 6 – 8AM, tầm 8h là hết.",https://maps.app.goo.gl/3UofRQcmJy12LZc37,,,,,,,,,,My Quang Via He (Ha Than),Draft - verify
